temp,pH,DO,date,time,datetime
25.875,7,97,7/8/2013,15:46:39,7/8/2013 15:46:39
25.875,7,97,7/8/2013,15:50:03,7/8/2013 15:50:03
25.875,7,97,7/8/2013,15:55:03,7/8/2013 15:55:03
25.875,7,97,7/8/2013,16:00:55,7/8/2013 16:00:55
25.812,7,97,7/8/2013,16:05:03,7/8/2013 16:05:03
25.875,7,97,7/8/2013,16:10:03,7/8/2013 16:10:03
25.875,7,97,7/8/2013,16:15:03,7/8/2013 16:15:03
25.875,7,97,7/8/2013,16:20:55,7/8/2013 16:20:55
25.875,7,97,7/8/2013,16:25:03,7/8/2013 16:25:03
25.875,7,97,7/8/2013,16:30:03,7/8/2013 16:30:03
25.875,7,97,7/8/2013,16:35:03,7/8/2013 16:35:03
25.875,7,97,7/8/2013,16:40:55,7/8/2013 16:40:55
25.875,7,97,7/8/2013,16:45:03,7/8/2013 16:45:03
25.875,7,97,7/8/2013,16:50:03,7/8/2013 16:50:03
25.875,7,97,7/8/2013,16:55:03,7/8/2013 16:55:03
25.875,7,97,7/8/2013,17:00:56,7/8/2013 17:00:56
25.875,7,97,7/8/2013,17:05:03,7/8/2013 17:05:03
25.875,7,97,7/8/2013,17:10:03,7/8/2013 17:10:03
25.875,7,97,7/8/2013,17:15:03,7/8/2013 17:15:03
25.875,7,97,7/8/2013,17:20:55,7/8/2013 17:20:55
25.875,7,97,7/8/2013,17:25:03,7/8/2013 17:25:03
25.875,7,97,7/8/2013,17:30:04,7/8/2013 17:30:04
25.875,7,97,7/8/2013,17:35:03,7/8/2013 17:35:03
25.875,7,97,7/8/2013,17:40:55,7/8/2013 17:40:55
25.875,7,97,7/8/2013,17:45:03,7/8/2013 17:45:03
25.875,7,97,7/8/2013,17:50:03,7/8/2013 17:50:03
25.875,7,97,7/8/2013,17:55:03,7/8/2013 17:55:03
25.875,7,97,7/8/2013,18:00:56,7/8/2013 18:00:56
25.875,7,97,7/8/2013,18:05:03,7/8/2013 18:05:03
25.875,7,97,7/8/2013,18:10:03,7/8/2013 18:10:03
25.875,7,97,7/8/2013,18:15:04,7/8/2013 18:15:04
25.875,7,97,7/8/2013,18:20:55,7/8/2013 18:20:55
25.875,7,97,7/8/2013,18:25:03,7/8/2013 18:25:03
25.875,7,97,7/8/2013,18:30:04,7/8/2013 18:30:04
25.875,7,97,7/8/2013,18:35:03,7/8/2013 18:35:03
25.875,7,97,7/8/2013,18:40:55,7/8/2013 18:40:55
25.875,7,97,7/8/2013,18:45:04,7/8/2013 18:45:04
25.875,7,97,7/8/2013,18:50:03,7/8/2013 18:50:03
25.875,7,97,7/8/2013,18:55:03,7/8/2013 18:55:03
25.875,7,97,7/8/2013,19:00:56,7/8/2013 19:00:56
25.875,7,97,7/8/2013,19:05:03,7/8/2013 19:05:03
25.875,7,97,7/8/2013,19:10:03,7/8/2013 19:10:03
25.875,7,97,7/8/2013,19:15:03,7/8/2013 19:15:03
25.875,7,97,7/8/2013,19:20:55,7/8/2013 19:20:55
25.875,7,97,7/8/2013,19:25:03,7/8/2013 19:25:03
25.875,7,97,7/8/2013,19:30:03,7/8/2013 19:30:03
25.875,7,97,7/8/2013,19:35:03,7/8/2013 19:35:03
25.875,7,97,7/8/2013,19:40:55,7/8/2013 19:40:55
25.875,7,97,7/8/2013,19:45:03,7/8/2013 19:45:03
25.937,7,97,7/8/2013,19:50:03,7/8/2013 19:50:03
25.937,7,97,7/8/2013,19:55:03,7/8/2013 19:55:03
25.937,7,97,7/8/2013,20:00:56,7/8/2013 20:00:56
25.875,7,97,7/8/2013,20:05:03,7/8/2013 20:05:03
25.937,7,97,7/8/2013,20:10:03,7/8/2013 20:10:03
25.937,7,97,7/8/2013,20:15:03,7/8/2013 20:15:03
25.937,7,97,7/8/2013,20:20:55,7/8/2013 20:20:55
25.937,7,97,7/8/2013,20:25:03,7/8/2013 20:25:03
25.937,7,97,7/8/2013,20:30:03,7/8/2013 20:30:03
25.937,7,97,7/8/2013,20:35:03,7/8/2013 20:35:03
25.937,7,97,7/8/2013,20:40:55,7/8/2013 20:40:55
25.937,7,97,7/8/2013,20:45:03,7/8/2013 20:45:03
25.937,7,97,7/8/2013,20:50:03,7/8/2013 20:50:03
25.937,7,97,7/8/2013,20:55:03,7/8/2013 20:55:03
25.937,7,97,7/8/2013,21:00:55,7/8/2013 21:00:55
26,7,97,7/8/2013,21:05:04,7/8/2013 21:05:04
25.937,7,97,7/8/2013,21:10:03,7/8/2013 21:10:03
26,7,97,7/8/2013,21:15:03,7/8/2013 21:15:03
26,7,97,7/8/2013,21:20:55,7/8/2013 21:20:55
26,7,97,7/8/2013,21:25:03,7/8/2013 21:25:03
26,7,97,7/8/2013,21:30:03,7/8/2013 21:30:03
26,7,97,7/8/2013,21:35:03,7/8/2013 21:35:03
26,7,97,7/8/2013,21:40:56,7/8/2013 21:40:56
26,7,97,7/8/2013,21:45:03,7/8/2013 21:45:03
26,7,97,7/8/2013,21:50:03,7/8/2013 21:50:03
26,7,97,7/8/2013,21:55:03,7/8/2013 21:55:03
26,7,97,7/8/2013,22:00:55,7/8/2013 22:00:55
26,7,97,7/8/2013,22:05:03,7/8/2013 22:05:03
26.062,7,97,7/8/2013,22:10:03,7/8/2013 22:10:03
26.062,7,97,7/8/2013,22:15:03,7/8/2013 22:15:03
26,7,97,7/8/2013,22:20:56,7/8/2013 22:20:56
26,7,97,7/8/2013,22:25:03,7/8/2013 22:25:03
26,7,97,7/8/2013,22:30:03,7/8/2013 22:30:03
26.062,7,97,7/8/2013,22:35:04,7/8/2013 22:35:04
26.062,7,97,7/8/2013,22:40:56,7/8/2013 22:40:56
26.062,7,97,7/8/2013,22:45:04,7/8/2013 22:45:04
26.062,7,97,7/8/2013,22:50:03,7/8/2013 22:50:03
26.062,7,97,7/8/2013,22:55:03,7/8/2013 22:55:03
26.062,7,97,7/8/2013,23:00:56,7/8/2013 23:00:56
26.062,7,97,7/8/2013,23:05:03,7/8/2013 23:05:03
26.062,7,97,7/8/2013,23:10:03,7/8/2013 23:10:03
26.062,7,97,7/8/2013,23:15:03,7/8/2013 23:15:03
26.062,7,97,7/8/2013,23:21:00,7/8/2013 23:21:00
26.062,7,97,7/8/2013,23:25:06,7/8/2013 23:25:06
26.062,7,97,7/8/2013,23:30:06,7/8/2013 23:30:06
26.062,7,97,7/8/2013,23:35:06,7/8/2013 23:35:06
26.062,7,97,7/8/2013,23:41:01,7/8/2013 23:41:01
26.062,7,97,7/8/2013,23:45:06,7/8/2013 23:45:06
26.062,7,97,7/8/2013,23:50:06,7/8/2013 23:50:06
26.062,7,97,7/8/2013,23:55:06,7/8/2013 23:55:06
26.062,7,97,7/9/2013,0:01:01,7/9/2013 0:01:01
26.125,7,97,7/9/2013,0:05:06,7/9/2013 0:05:06
26.125,7,97,7/9/2013,0:10:06,7/9/2013 0:10:06
26.125,7,97,7/9/2013,0:15:06,7/9/2013 0:15:06
26.125,7,97,7/9/2013,0:21:01,7/9/2013 0:21:01
26.125,7,97,7/9/2013,0:25:05,7/9/2013 0:25:05
26.125,7,97,7/9/2013,0:30:06,7/9/2013 0:30:06
26.125,7,97,7/9/2013,0:35:06,7/9/2013 0:35:06
26.125,7,97,7/9/2013,0:41:01,7/9/2013 0:41:01
26.125,7,97,7/9/2013,0:45:05,7/9/2013 0:45:05
26.125,7,97,7/9/2013,0:50:05,7/9/2013 0:50:05
26.125,7,97,7/9/2013,0:55:06,7/9/2013 0:55:06
26.125,7,97,7/9/2013,1:01:00,7/9/2013 1:01:00
26.125,7,97,7/9/2013,1:05:06,7/9/2013 1:05:06
26.125,7,97,7/9/2013,1:10:06,7/9/2013 1:10:06
26.125,7,97,7/9/2013,1:15:06,7/9/2013 1:15:06
26.125,7,97,7/9/2013,1:21:00,7/9/2013 1:21:00
26.125,7,97,7/9/2013,1:25:06,7/9/2013 1:25:06
26.125,7,97,7/9/2013,1:30:06,7/9/2013 1:30:06
26.125,7,97,7/9/2013,1:35:06,7/9/2013 1:35:06
26.125,7,97,7/9/2013,1:41:00,7/9/2013 1:41:00
26.125,7,97,7/9/2013,1:45:06,7/9/2013 1:45:06
26.125,7,97,7/9/2013,1:50:06,7/9/2013 1:50:06
26.125,7,97,7/9/2013,1:55:06,7/9/2013 1:55:06
26.125,7,97,7/9/2013,2:01:00,7/9/2013 2:01:00
26.187,7,97,7/9/2013,2:05:05,7/9/2013 2:05:05
26.125,7,97,7/9/2013,2:10:06,7/9/2013 2:10:06
26.187,7,97,7/9/2013,2:15:06,7/9/2013 2:15:06
26.125,7,97,7/9/2013,2:21:00,7/9/2013 2:21:00
26.187,7,97,7/9/2013,2:25:06,7/9/2013 2:25:06
26.125,7,97,7/9/2013,2:30:06,7/9/2013 2:30:06
26.187,7,97,7/9/2013,2:35:05,7/9/2013 2:35:05
26.187,7,97,7/9/2013,2:41:00,7/9/2013 2:41:00
26.187,7,97,7/9/2013,2:45:06,7/9/2013 2:45:06
26.187,7,97,7/9/2013,2:50:06,7/9/2013 2:50:06
26.187,7,97,7/9/2013,2:55:06,7/9/2013 2:55:06
26.187,7,97,7/9/2013,3:01:00,7/9/2013 3:01:00
26.187,7,97,7/9/2013,3:05:06,7/9/2013 3:05:06
26.187,7,97,7/9/2013,3:10:05,7/9/2013 3:10:05
26.187,7,97,7/9/2013,3:15:05,7/9/2013 3:15:05
26.187,7,97,7/9/2013,3:21:01,7/9/2013 3:21:01
26.187,7,97,7/9/2013,3:25:06,7/9/2013 3:25:06
26.187,7,97,7/9/2013,3:30:05,7/9/2013 3:30:05
26.187,7,97,7/9/2013,3:35:06,7/9/2013 3:35:06
26.187,7,97,7/9/2013,3:41:00,7/9/2013 3:41:00
26.187,7,97,7/9/2013,3:45:06,7/9/2013 3:45:06
26.187,7,97,7/9/2013,3:50:06,7/9/2013 3:50:06
26.187,7,97,7/9/2013,3:55:06,7/9/2013 3:55:06
26.187,7,97,7/9/2013,4:01:00,7/9/2013 4:01:00
26.187,7,97,7/9/2013,4:05:05,7/9/2013 4:05:05
26.187,7,97,7/9/2013,4:10:05,7/9/2013 4:10:05
26.187,7,97,7/9/2013,4:15:06,7/9/2013 4:15:06
26.187,7,97,7/9/2013,4:21:00,7/9/2013 4:21:00
26.187,7,97,7/9/2013,4:25:06,7/9/2013 4:25:06
26.187,7,97,7/9/2013,4:30:06,7/9/2013 4:30:06
26.187,7,97,7/9/2013,4:35:05,7/9/2013 4:35:05
26.187,7,97,7/9/2013,4:41:01,7/9/2013 4:41:01
26.187,7,97,7/9/2013,4:45:05,7/9/2013 4:45:05
26.187,7,97,7/9/2013,4:50:06,7/9/2013 4:50:06
26.187,7,97,7/9/2013,4:55:06,7/9/2013 4:55:06
26.25,7,97,7/9/2013,5:01:00,7/9/2013 5:01:00
26.25,7,97,7/9/2013,5:05:06,7/9/2013 5:05:06
26.25,7,97,7/9/2013,5:10:06,7/9/2013 5:10:06
26.25,7,97,7/9/2013,5:15:05,7/9/2013 5:15:05
26.25,7,97,7/9/2013,5:21:00,7/9/2013 5:21:00
26.187,7,97,7/9/2013,5:25:05,7/9/2013 5:25:05
26.25,7,97,7/9/2013,5:30:06,7/9/2013 5:30:06
26.25,7,97,7/9/2013,5:35:06,7/9/2013 5:35:06
26.25,7,97,7/9/2013,5:41:00,7/9/2013 5:41:00
26.187,7,97,7/9/2013,5:45:06,7/9/2013 5:45:06
26.25,7,97,7/9/2013,5:50:05,7/9/2013 5:50:05
26.25,7,97,7/9/2013,5:55:05,7/9/2013 5:55:05
26.25,7,97,7/9/2013,6:01:00,7/9/2013 6:01:00
26.25,7,97,7/9/2013,6:05:06,7/9/2013 6:05:06
26.25,7,97,7/9/2013,6:10:06,7/9/2013 6:10:06
26.25,7,97,7/9/2013,6:15:05,7/9/2013 6:15:05
26.25,7,97,7/9/2013,6:21:00,7/9/2013 6:21:00
26.25,7,97,7/9/2013,6:25:06,7/9/2013 6:25:06
26.25,7,97,7/9/2013,6:30:04,7/9/2013 6:30:04
26.25,7,97,7/9/2013,6:35:03,7/9/2013 6:35:03
26.25,7,97,7/9/2013,6:40:55,7/9/2013 6:40:55
26.25,7,97,7/9/2013,6:45:03,7/9/2013 6:45:03
26.25,7,97,7/9/2013,6:50:03,7/9/2013 6:50:03
26.25,7,97,7/9/2013,6:55:04,7/9/2013 6:55:04
26.25,7,97,7/9/2013,7:00:55,7/9/2013 7:00:55
26.25,7,97,7/9/2013,7:05:03,7/9/2013 7:05:03
26.25,7,97,7/9/2013,7:10:03,7/9/2013 7:10:03
26.25,7,97,7/9/2013,7:15:03,7/9/2013 7:15:03
26.25,7,97,7/9/2013,7:20:55,7/9/2013 7:20:55
26.25,7,97,7/9/2013,7:25:03,7/9/2013 7:25:03
26.25,7,97,7/9/2013,7:30:03,7/9/2013 7:30:03
26.25,7,97,7/9/2013,7:35:03,7/9/2013 7:35:03
26.25,7,97,7/9/2013,7:40:55,7/9/2013 7:40:55
26.25,7,97,7/9/2013,7:45:03,7/9/2013 7:45:03
26.25,7,97,7/9/2013,7:50:03,7/9/2013 7:50:03
26.25,7,97,7/9/2013,7:55:04,7/9/2013 7:55:04
26.25,7,97,7/9/2013,8:00:55,7/9/2013 8:00:55
26.25,7,97,7/9/2013,8:05:03,7/9/2013 8:05:03
26.25,7,97,7/9/2013,8:10:03,7/9/2013 8:10:03
26.25,7,97,7/9/2013,8:15:04,7/9/2013 8:15:04
26.25,7,97,7/9/2013,8:20:55,7/9/2013 8:20:55
26.25,7,97,7/9/2013,8:25:03,7/9/2013 8:25:03
26.25,7,97,7/9/2013,8:30:03,7/9/2013 8:30:03
26.25,7,97,7/9/2013,8:35:04,7/9/2013 8:35:04
26.25,7,97,7/9/2013,8:40:55,7/9/2013 8:40:55
26.312,7,97,7/9/2013,8:45:03,7/9/2013 8:45:03
26.25,7,97,7/9/2013,8:50:03,7/9/2013 8:50:03
26.312,7,97,7/9/2013,8:55:03,7/9/2013 8:55:03
26.25,7,97,7/9/2013,9:00:55,7/9/2013 9:00:55
26.312,7,97,7/9/2013,9:05:03,7/9/2013 9:05:03
26.312,7,97,7/9/2013,9:10:03,7/9/2013 9:10:03
26.312,7,97,7/9/2013,9:15:04,7/9/2013 9:15:04
26.312,7,97,7/9/2013,9:20:55,7/9/2013 9:20:55
26.312,7,97,7/9/2013,9:25:03,7/9/2013 9:25:03
26.312,7,97,7/9/2013,9:30:03,7/9/2013 9:30:03
26.312,7,97,7/9/2013,9:35:03,7/9/2013 9:35:03
26.312,7,97,7/9/2013,9:40:55,7/9/2013 9:40:55
26.312,7,97,7/9/2013,9:45:03,7/9/2013 9:45:03
26.312,7,97,7/9/2013,9:50:03,7/9/2013 9:50:03
26.312,7,97,7/9/2013,9:55:03,7/9/2013 9:55:03
26.312,7,97,7/9/2013,10:00:56,7/9/2013 10:00:56
26.312,7,97,7/9/2013,10:05:03,7/9/2013 10:05:03
26.312,7,97,7/9/2013,10:10:03,7/9/2013 10:10:03
26.312,7,97,7/9/2013,10:15:03,7/9/2013 10:15:03
26.375,7,97,7/9/2013,10:20:56,7/9/2013 10:20:56
26.312,7,97,7/9/2013,10:25:03,7/9/2013 10:25:03
26.375,7,97,7/9/2013,10:30:03,7/9/2013 10:30:03
26.375,7,97,7/9/2013,10:35:03,7/9/2013 10:35:03
26.375,7,97,7/9/2013,10:40:55,7/9/2013 10:40:55
26.375,7,97,7/9/2013,10:45:03,7/9/2013 10:45:03
26.375,7,97,7/9/2013,10:50:03,7/9/2013 10:50:03
26.375,7,97,7/9/2013,10:55:03,7/9/2013 10:55:03
26.375,7,97,7/9/2013,11:00:55,7/9/2013 11:00:55
26.375,7,97,7/9/2013,11:05:03,7/9/2013 11:05:03
26.375,7,97,7/9/2013,11:10:03,7/9/2013 11:10:03
26.375,7,97,7/9/2013,11:15:03,7/9/2013 11:15:03
26.375,7,97,7/9/2013,11:20:56,7/9/2013 11:20:56
26.375,7,97,7/9/2013,11:25:03,7/9/2013 11:25:03
26.375,7,97,7/9/2013,11:30:03,7/9/2013 11:30:03
26.375,7,97,7/9/2013,11:35:03,7/9/2013 11:35:03
26.375,7,97,7/9/2013,11:40:56,7/9/2013 11:40:56
26.375,7,97,7/9/2013,11:45:03,7/9/2013 11:45:03
26.375,7,97,7/9/2013,11:50:03,7/9/2013 11:50:03
26.375,7,97,7/9/2013,11:55:03,7/9/2013 11:55:03
26.437,7,97,7/9/2013,12:00:56,7/9/2013 12:00:56
26.437,7,97,7/9/2013,12:05:03,7/9/2013 12:05:03
26.437,7,97,7/9/2013,12:10:03,7/9/2013 12:10:03
26.437,7,97,7/9/2013,12:15:04,7/9/2013 12:15:04
26.437,7,97,7/9/2013,12:20:55,7/9/2013 12:20:55
26.437,7,97,7/9/2013,12:25:03,7/9/2013 12:25:03
26.437,7,97,7/9/2013,12:30:03,7/9/2013 12:30:03
26.437,7,97,7/9/2013,12:35:03,7/9/2013 12:35:03
26.437,7,97,7/9/2013,12:40:55,7/9/2013 12:40:55
26.437,7,97,7/9/2013,12:45:03,7/9/2013 12:45:03
26.437,7,97,7/9/2013,12:50:03,7/9/2013 12:50:03
26.437,7,97,7/9/2013,12:55:03,7/9/2013 12:55:03
26.437,7,97,7/9/2013,13:00:55,7/9/2013 13:00:55
26.5,7,97,7/9/2013,13:05:03,7/9/2013 13:05:03
26.437,7,97,7/9/2013,13:10:04,7/9/2013 13:10:04
26.437,7,97,7/9/2013,13:15:03,7/9/2013 13:15:03
26.5,7,97,7/9/2013,13:20:56,7/9/2013 13:20:56
26.5,7,97,7/9/2013,13:25:03,7/9/2013 13:25:03
26.5,7,97,7/9/2013,13:30:03,7/9/2013 13:30:03
26.5,7,97,7/9/2013,13:35:03,7/9/2013 13:35:03
26.5,7,97,7/9/2013,13:40:56,7/9/2013 13:40:56
26.5,7,97,7/9/2013,13:45:03,7/9/2013 13:45:03
26.5,7,97,7/9/2013,13:50:03,7/9/2013 13:50:03
26.5,7,97,7/9/2013,13:55:03,7/9/2013 13:55:03
26.5,7,97,7/9/2013,14:00:56,7/9/2013 14:00:56
26.5,7,97,7/9/2013,14:05:03,7/9/2013 14:05:03
26.5,7,97,7/9/2013,14:10:04,7/9/2013 14:10:04
26.5,7,97,7/9/2013,14:15:05,7/9/2013 14:15:05
26.5,7,97,7/9/2013,14:20:56,7/9/2013 14:20:56
26.562,7,97,7/9/2013,14:25:05,7/9/2013 14:25:05
26.562,7,97,7/9/2013,14:30:03,7/9/2013 14:30:03
26.562,7,97,7/9/2013,14:35:03,7/9/2013 14:35:03
26.562,7,97,7/9/2013,14:40:56,7/9/2013 14:40:56
26.562,7,97,7/9/2013,14:45:03,7/9/2013 14:45:03
26.562,7,97,7/9/2013,14:50:03,7/9/2013 14:50:03
26.562,7,97,7/9/2013,14:55:04,7/9/2013 14:55:04
26.562,7,97,7/9/2013,15:00:55,7/9/2013 15:00:55
26.562,7,97,7/9/2013,15:05:03,7/9/2013 15:05:03
26.562,7,97,7/9/2013,15:10:03,7/9/2013 15:10:03
26.562,7,97,7/9/2013,15:15:03,7/9/2013 15:15:03
26.562,7,97,7/9/2013,15:20:55,7/9/2013 15:20:55
26.625,7,97,7/9/2013,15:25:05,7/9/2013 15:25:05
26.625,7,97,7/9/2013,15:30:03,7/9/2013 15:30:03
26.562,7,97,7/9/2013,15:35:04,7/9/2013 15:35:04
26.625,7,97,7/9/2013,15:40:55,7/9/2013 15:40:55
26.562,7,97,7/9/2013,15:45:03,7/9/2013 15:45:03
26.625,7,97,7/9/2013,15:50:03,7/9/2013 15:50:03
26.625,7,97,7/9/2013,15:55:03,7/9/2013 15:55:03
26.625,7,97,7/9/2013,16:00:55,7/9/2013 16:00:55
26.625,7,97,7/9/2013,16:05:03,7/9/2013 16:05:03
26.625,7,97,7/9/2013,16:10:03,7/9/2013 16:10:03
